date,cough,fever,amnesia,sore throat,sore joint,isPartial,allergy,diarrhea,runny nose,sneeze,state,itch
2010-07-01,17,51,0,6,0,False,50,37,3,5,NE,24
2010-08-01,33,49,0,12,0,False,45,40,6,7,NE,21
2010-09-01,47,48,6,16,0,False,59,42,3,6,NE,13
2010-10-01,36,45,4,10,0,False,65,35,3,8,NE,19
2010-11-01,46,58,6,13,0,False,36,31,5,6,NE,17
2010-12-01,32,35,8,14,0,False,39,22,5,5,NE,14
2011-01-01,35,51,9,23,0,False,43,36,5,7,NE,12
2011-02-01,40,71,4,17,0,False,38,33,7,3,NE,10
2011-03-01,41,66,4,19,0,False,50,41,4,4,NE,10
2011-04-01,30,73,10,18,0,False,58,32,7,5,NE,14
2011-05-01,26,43,6,13,0,False,55,33,4,2,NE,11
2011-06-01,18,47,6,13,0,False,53,39,3,2,NE,17
2011-07-01,19,49,9,18,0,False,55,48,2,5,NE,29
2011-08-01,20,51,5,16,0,False,43,31,4,11,NE,27
2011-09-01,33,48,6,17,0,False,61,29,3,4,NE,20
2011-10-01,42,50,6,17,0,False,40,46,3,3,NE,14
2011-11-01,33,54,9,17,0,False,46,39,6,9,NE,15
2011-12-01,39,53,6,26,0,False,37,53,7,6,NE,18
2012-01-01,41,55,5,15,0,False,42,49,4,8,NE,16
2012-02-01,50,63,7,29,0,False,37,33,6,5,NE,18
2012-03-01,45,64,5,22,0,False,68,50,3,4,NE,18
2012-04-01,39,57,7,19,0,False,51,37,4,5,NE,10
2012-05-01,29,54,7,19,0,False,52,30,3,4,NE,23
2012-06-01,27,58,15,14,0,False,43,42,1,3,NE,23
2012-07-01,29,45,14,23,0,False,54,51,5,7,NE,20
2012-08-01,27,54,10,14,0,False,71,41,6,8,NE,20
2012-09-01,46,53,7,22,0,False,63,37,4,7,NE,15
2012-10-01,43,64,8,20,0,False,43,45,2,8,NE,14
2012-11-01,42,57,10,16,0,False,44,51,5,7,NE,14
2012-12-01,53,60,12,25,0,False,34,55,5,5,NE,13
2013-01-01,50,70,10,24,0,False,44,58,8,8,NE,20
2013-02-01,52,59,4,22,0,False,38,48,2,7,NE,11
2013-03-01,39,47,10,27,0,False,42,45,7,5,NE,16
2013-04-01,30,44,11,20,0,False,71,59,5,5,NE,16
2013-05-01,30,51,9,20,0,False,63,47,3,5,NE,20
2013-06-01,26,47,5,21,0,False,68,53,3,6,NE,27
2013-07-01,30,50,7,19,0,False,50,57,5,2,NE,34
2013-08-01,32,54,9,18,0,False,65,53,3,5,NE,21
2013-09-01,36,60,12,20,0,False,69,50,4,5,NE,23
2013-10-01,46,48,7,18,0,False,50,40,3,9,NE,20
2013-11-01,51,57,4,18,0,False,38,43,4,8,NE,19
2013-12-01,40,64,3,30,0,False,47,46,6,7,NE,12
2014-01-01,60,68,4,25,0,False,43,52,4,5,NE,18
2014-02-01,51,59,5,23,0,False,47,63,6,8,NE,18
2014-03-01,39,59,6,20,0,False,50,58,5,7,NE,16
2014-04-01,34,71,4,18,0,False,71,58,6,8,NE,20
2014-05-01,44,54,5,25,0,False,68,61,7,5,NE,24
